id,sport_id,event_name
619,22,Rowing Men's 6-Man Naval Rowing Boats
620,14,Art Competitions Mixed Music
621,26,"Shooting Men's Free Rifle, Kneeling, 300 metres"
622,26,"Shooting Men's Free Rifle, Prone, 300 metres"
623,26,"Shooting Men's Free Rifle, Standing, 300 metres"
624,53,"Short Track Speed Skating Women's 1,000 metres"
625,7,"Athletics Men's 3,200 metres Steeplechase"
626,22,Rowing Women's Coxless Fours
627,44,Freestyle Skiing Women's Ski Cross
628,44,Freestyle Skiing Men's Ski Cross
629,32,"Tennis Men's Doubles, Covered Courts"
630,32,"Tennis Men's Singles, Covered Courts"
631,29,Cycling Men's 25 kilometres
632,41,"Nordic Combined Men's Normal Hill / 10 km, Individual"
633,41,"Nordic Combined Men's Large Hill / 10 km, Individual"
634,26,"Shooting Men's Military Rifle, 200 metres"
635,53,"Short Track Speed Skating Women's 1,500 metres"
636,7,Athletics Men's Standing Triple Jump
637,22,Rowing Men's Coxed Pairs (1 kilometres)
638,26,"Shooting Men's Military Pistol, 30 metres"
639,29,Cycling Women's Keirin
640,37,"Archery Men's Au Cordon Dore, 50 metres"
641,9,Swimming Women's 300 metres Freestyle
642,51,Snowboarding Women's Giant Slalom
643,31,"Canoeing Men's Canadian Singles, 200 metres"
644,11,Sailing Mixed 30 metres
645,7,"Athletics Men's 4,000 metres Steeplechase"
646,7,"Athletics Men's 5,000 metres, Team"
647,51,Snowboarding Men's Slopestyle
648,22,Rowing Men's Coxed Pairs (1 mile)
649,14,Art Competitions Mixed Unknown Event
650,29,Cycling Women's Omnium
651,44,Freestyle Skiing Men's Halfpipe
652,9,Swimming Men's 200 metres Obstacle Course
653,9,Swimming Men's 200 metres Team Swimming
654,11,Sailing Mixed 12 foot
655,14,"Art Competitions Mixed Music, Instrumental And Chamber"
656,14,"Art Competitions Mixed Music, Vocals"
657,14,"Art Competitions Mixed Literature, Dramatic Works"
658,62,Jeu De Paume Men's Singles
659,11,Sailing Mixed 10-20 Ton
660,29,Cycling Men's 1/3 mile
661,29,Cycling Men's 1 mile
662,29,Cycling Men's 2 mile
663,14,"Art Competitions Mixed Sculpturing, Medals And Plaques"
664,7,"Athletics Men's 1,600 metres Medley Relay"
665,61,"Croquet Mixed Singles, Two Balls"
666,31,"Canoeing Men's Folding Kayak Doubles, 10 kilometres"
667,7,Athletics Men's 60 metres
668,51,Snowboarding Women's Parallel Giant Slalom
669,11,Sailing Mixed 2-3 Ton
670,5,Speed Skating Men's Allround
671,26,"Shooting Men's Military Rifle, Prone, 600 metres"
672,31,"Canoeing Men's Canadian Doubles, 10,000 metres"
673,51,Snowboarding Women's Parallel Slalom
674,26,"Shooting Men's Dueling Pistol, 30 metres, Team"
675,13,"Gymnastics Men's Parallel Bars, Teams"
676,13,"Gymnastics Men's Horizontal Bar, Teams"
677,26,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team"
678,14,"Art Competitions Mixed Sculpturing, Medals And Reliefs"
679,7,"Athletics Men's 1,500 metres Walk"
680,7,"Athletics Men's 3 mile, Team"
681,14,"Art Competitions Mixed Sculpturing, Medals"
682,26,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres"
683,25,"Equestrianism Men's Vaulting, Team"
684,26,"Shooting Men's Free Rifle, Any Position, 300 metres"
685,26,"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres"
686,9,Swimming Men's 100 Yard Backstroke
687,9,Swimming Men's 440 Yard Breaststroke
688,14,"Art Competitions Mixed Literature, Epic Works"
689,14,Art Competitions Mixed Architecture
690,7,"Athletics Men's 3,500 metres Walk"
691,63,Roque Men's Singles
692,13,Gymnastics Men's Side Horse
693,64,Alpinism Mixed Alpinism
694,37,Archery Men's Double American Round
695,37,Archery Men's Team Round
696,37,"Archery Men's Target Archery, 33 metres, Individual"
697,37,"Archery Men's Target Archery, 50 metres, Individual"
698,9,"Swimming Men's 1,000 metres Freestyle"
699,7,Athletics Men's 10 mile Walk
700,7,"Athletics Men's Discus Throw, Both Hands"
701,35,Golf Men's Team
702,11,Sailing Mixed 0-0.5 Ton
703,11,Sailing Mixed 20+ Ton
704,29,Cycling Women's Team Sprint
705,17,"Weightlifting Men's Unlimited, Two Hands"
706,26,"Shooting Men's Free Pistol, 25 metres"
707,26,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres"
708,26,"Shooting Men's Military Revolver, 20 metres"
709,26,Shooting Men's Dueling Pistol Au Vise 20 metres
710,26,"Shooting Men's Dueling Pistol Au Commandement, 25 metres"
711,26,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team"
712,11,Sailing Mixed 6.5 metres
713,7,Athletics Men's 200 metres Hurdles
714,7,Athletics Men's 56-pound Weight Throw
715,25,Equestrianism Mixed Four-In-Hand Competition
716,7,"Athletics Men's 2,500 metres Steeplechase"
717,14,"Art Competitions Mixed Music, Unknown Event"
718,7,Athletics Men's All-Around Championship
719,37,"Archery Men's Pole Archery, Small Birds, Individual"
720,37,"Archery Men's Pole Archery, Large Birds, Individual"
721,37,"Archery Men's Pole Archery, Small Birds, Team"
722,37,"Archery Men's Pole Archery, Large Birds, Team"
723,7,"Athletics Men's 2,590 metres Steeplechase"
724,37,Archery Women's Double Columbia Round
725,7,"Athletics Men's 4 mile, Team"
726,34,Figure Skating Men's Special Figures
727,26,"Shooting Men's Military Rifle, Standing, 300 metres"
728,9,Swimming Men's 50 yard Freestyle
729,9,Swimming Men's 100 yard Freestyle
730,9,Swimming Men's 440 yard Freestyle
731,65,Basque Pelota Men's Two-Man Teams With Cesta
732,26,"Shooting Men's Trap, Single Shot, 16 metres"
733,26,"Shooting Men's Trap, Double Shot, 14 metres"
734,25,Equestrianism Mixed Long Jump
735,31,"Canoeing Men's Folding Kayak Singles, 10 kilometres"
736,26,"Shooting Men's Free Pistol, 30 metres"
737,26,"Shooting Men's Military Pistol, 25 metres"
738,9,Swimming Men's 100 metres Freestyle For Sailors
739,37,Archery Men's Sur La Perche a La Herse
740,11,Sailing Mixed 3-10 Ton
741,13,"Gymnastics Men's Individual All-Around, 4 Events"
742,18,"Wrestling Men's Unlimited Class, Greco-Roman"
743,59,Motorboating Mixed B-Class (Under 60 Feet)
744,59,Motorboating Mixed C-Class
745,29,"Cycling Men's 10,000 metres"
746,14,"Art Competitions Mixed Sculpturing, Reliefs"
747,26,"Shooting Men's Muzzle-Loading Pistol, 25 metres"
748,25,Equestrianism Mixed High Jump
749,37,Archery Men's Sur La Perche a La Pyramide
750,24,"Fencing Men's Single Sticks, Individual"
751,13,Gymnastics Men's Tumbling
752,26,Shooting Men's Unknown Event
753,11,Sailing Mixed 18 foot
754,37,Archery Men's Unknown Event
755,37,"Archery Men's Au Chapelet, 50 metres"
756,37,Archery Men's Championnat Du Monde
757,37,Archery Women's Team Round
758,18,"Wrestling Men's All-Around, Greco-Roman"
759,29,Cycling Men's 12-Hours Race
760,9,Swimming Men's 500 metres Freestyle
761,17,Weightlifting Men's All-Around Dumbbell Contest
762,37,"Archery Men's Au Chapelet, 33 metres"
763,37,"Archery Men's Au Cordon Dore, 33 metres"
764,37,"Archery Men's Target Archery, 28 metres, Individual"
765,66,Aeronautics Mixed Aeronautics
