id,team_name
1,China
2,Denmark
3,Sweden
4,Netherlands
5,United States
6,Finland
7,Norway
8,Romania
9,Estonia
10,France
11,Taifun
12,Morocco
13,Spain
14,Egypt
15,Iran
16,Bulgaria
17,Italy
18,Chad
19,Azerbaijan
20,Sudan
21,Russia
22,Argentina
23,Cuba
24,Belarus
25,Greece
26,Cameroon
27,Turkey
28,Chile
29,Mexico
30,Soviet Union
31,Nicaragua
32,Hungary
33,Nigeria
34,Algeria
35,Kuwait
36,Bahrain
37,Pakistan
38,Iraq
39,United Arab Republic
40,Lebanon
41,Qatar
42,Malaysia
43,Germany
44,Thessalonki-1
45,Canada
46,Ireland
47,Australia
48,South Africa
49,Eritrea
50,Tanzania
51,Jordan
52,Tunisia
53,Libya
54,Belgium
55,Djibouti
56,Palestine
57,Comoros
58,Kazakhstan
59,Brunei
60,India
61,Saudi Arabia
62,Syria
63,Maldives
64,Ethiopia
65,United Arab Emirates
66,North Yemen
67,Indonesia
68,Philippines
69,Singapore
70,Uzbekistan
71,Kyrgyzstan
72,Tajikistan
73,Unified Team
74,Japan
75,Japan-1
76,Congo (Brazzaville)
77,Switzerland
78,Brazil
79,West Germany
80,East Germany
81,Monaco
82,Fornebo
83,Israel
84,Vesper Boat Club
85,Uruguay
86,United States Virgin Islands
87,Sri Lanka
88,Armenia
89,Cote d'Ivoire
90,Kenya
91,Benin
92,France-1
93,Ukraine
94,Great Britain
95,Ghana
96,Somalia
97,Latvia
98,Niger
99,Mali
100,Afghanistan
101,Poland
102,Costa Rica
103,Panama
104,Georgia
105,Slovenia
106,Croatia
107,Russia-2
108,Russia-1
109,Guyana
110,New Zealand
111,Portugal
112,Paraguay
113,Angola
114,Venezuela
115,Colombia
116,Bangladesh
117,Peru
118,El Salvador
119,Puerto Rico
120,France-2
121,Uganda
122,Switzerland-2
123,Switzerland-1
124,Honduras
125,Ecuador
126,Turkmenistan
127,Mauritius
128,Seychelles
129,Czechoslovakia
130,Great Britain-1
131,Luxembourg
132,Mauritania
133,Czech Republic
134,Saint Kitts and Nevis
135,New York Athletic Club #2-4
136,Trinidad and Tobago
137,Dominican Republic
138,Saint Vincent and the Grenadines
139,Mystery
140,Jamaica
141,Liberia
142,Suriname
143,Nigeria-2
144,Nepal
145,Mongolia
146,Germany-2
147,Austria
148,Clementine V
149,Bylina-2
150,Palau
151,Lithuania
152,Togo
153,Namibia
154,Netherlands Antilles
155,Iceland
156,American Samoa
157,Samoa
158,Rwanda
159,Dominica
160,Great Britain-2
161,Haiti
162,Stella-2
163,Malta
164,United States-1
165,United States-2
166,Argentina-2
167,"Large boat, Central Naval Prep School ""Poros""-1"
168,Cyprus
169,Guinea
170,Xolotl
171,Belize
172,Matrero II
173,Blue Red
174,Gteborgs Roddklubb-1
175,Indonesia-1
176,Germany-1
177,South Yemen
178,South Korea
179,Lucky Girl-1
180,Mutafo
